住宅價格月指數類別,月指數,季移動平均數,半年移動平均數,月指數變動率,季移動平均數變動率,半年移動平均數變動率,標準住宅總價,標準住宅單價
全市小宅,103.60 ,104.11 ,103.43 ,-0.0161,-0.0022,-0.0008,895.00 ,63.94 
全市小宅,101.90 ,103.60 ,103.46 ,-0.0164,-0.0049,0.0002,880.00 ,62.89 
全市小宅,102.01 ,102.50 ,103.43 ,0.0011,-0.0106,-0.0003,881.00 ,62.96 
全市小宅,106.68 ,103.53 ,103.82 ,0.0458,0.01,0.0038,922.00 ,65.84 
全市小宅,103.85 ,104.18 ,103.89 ,-0.0265,0.0063,0.0007,897.00 ,64.09 
全市小宅,102.79 ,104.44 ,103.47 ,-0.0102,0.0025,-0.004,888.00 ,63.44 
全市小宅,102.08 ,102.91 ,103.22 ,-0.0069,-0.0147,-0.0024,882.00 ,63.00 
全市小宅,103.77 ,102.88 ,103.53 ,0.0166,-0.0003,0.003,897.00 ,64.04 
全市小宅,102.72 ,102.86 ,103.65 ,-0.0101,-0.0002,0.0011,888.00 ,63.40 
全市小宅,104.95 ,103.81 ,103.36 ,0.0217,0.0093,-0.0028,907.00 ,64.77 
全市小宅,105.27 ,104.31 ,103.60 ,0.003,0.0048,0.0023,910.00 ,64.97 
全市小宅,102.87 ,104.36 ,103.61 ,-0.0228,0.0005,0.0001,889.00 ,63.49 
全市小宅,99.83 ,102.66 ,103.24 ,-0.0296,-0.0164,-0.0036,863.00 ,61.61 
全市小宅,100.28 ,100.99 ,102.65 ,0.0045,-0.0162,-0.0056,866.00 ,61.89 
全市小宅,100.12 ,100.08 ,102.22 ,-0.0016,-0.0091,-0.0042,865.00 ,61.79 
全市小宅,101.00 ,100.47 ,101.56 ,0.0088,0.0039,-0.0064,873.00 ,62.33 
全市小宅,99.32 ,100.15 ,100.57 ,-0.0166,-0.0032,-0.0098,858.00 ,61.29 
全市小宅,99.35 ,99.89 ,99.98 ,0.0003,-0.0026,-0.0058,858.00 ,61.31 
全市小宅,98.00 ,98.89 ,99.68 ,-0.0136,-0.01,-0.0031,847.00 ,60.48 
全市小宅,98.21 ,98.52 ,99.33 ,0.0021,-0.0037,-0.0035,849.00 ,60.61 
全市小宅,97.34 ,97.85 ,98.87 ,-0.0089,-0.0068,-0.0047,841.00 ,60.08 
全市小宅,99.63 ,98.39 ,98.64 ,0.0235,0.0056,-0.0023,861.00 ,61.49 
全市小宅,100.73 ,99.23 ,98.88 ,0.011,0.0085,0.0024,870.00 ,62.17 
全市小宅,98.97 ,99.78 ,98.81 ,-0.0175,0.0055,-0.0006,855.00 ,61.08 
全市小宅,99.52 ,99.74 ,99.07 ,0.0056,-0.0004,0.0026,860.00 ,61.42 
全市小宅,98.69 ,99.06 ,99.15 ,-0.0083,-0.0068,0.0008,853.00 ,60.91 
全市小宅,97.56 ,98.59 ,99.18 ,-0.0114,-0.0047,0.0004,843.00 ,60.21 
全市小宅,96.41 ,97.55 ,98.65 ,-0.0118,-0.0105,-0.0054,833.00 ,59.50 
全市小宅,99.00 ,97.66 ,98.36 ,0.0269,0.0011,-0.0029,855.00 ,61.10 
